01;CONZIEU;conzieu;Conzieu;1300;135
01;NIEVROZ;nievroz;Niévroz;1120;1488
01;NURIEUX-VOLOGNAT;nurieux volognat;Nurieux-Volognat;1460;1058
01;AMBLEON;ambleon;Ambléon;1300;116
01;SAINT-MAURICE-DE-GOURDANS;saint maurice de gourdans;Saint-Maurice-de-Gourdans;1800;2498
01;CHEZERY-FORENS;chezery forens;Chézery-Forens;1200;434
01;SAULT-BRENAZ;sault brenaz;Sault-Brénaz;1150;1043
01;MURS-ET-GELIGNIEUX;murs et gelignieux;Murs-et-Gélignieux;1300;241
01;LE PETIT-ABERGEMENT;le petit abergement;Le Petit-Abergement;1260;138
01;CORMOZ;cormoz;Cormoz;1560;625
01;SAINT-MARTIN-DE-BAVEL;saint martin de bavel;Saint-Martin-de-Bavel;1510;443
01;SAINT-TRIVIER-DE-COURTES;saint trivier de courtes;Saint-Trivier-de-Courtes;1560;1013
01;BOYEUX-SAINT-JEROME;boyeux saint jerome;Boyeux-Saint-Jérôme;1640;321
01;CHATEAU-GAILLARD;chateau gaillard;Château-Gaillard;1500;1818
01;PREMEYZEL;premeyzel;Prémeyzel;1300;234
01;ARANDAS;arandas;Arandas;1230;163
01;CHATENAY;chatenay;Châtenay;1320;352
01;INNIMOND;innimond;Innimond;1680;114
01;BOZ;boz;Boz;1190;496
01;BRIORD;briord;Briord;1470;893
01;REYRIEUX;reyrieux;Reyrieux;1600;4093
01;MATAFELON-GRANGES;matafelon granges;Matafelon-Granges;1580;652
01;DROM;drom;Drom;1250;209
01;CHATILLON-EN-MICHAILLE;chatillon en michaille;Châtillon-en-Michaille;1200;3120
01;POLLIAT;polliat;Polliat;1310;2403
01;VESANCY;vesancy;Vesancy;1170;526
01;MASSIEUX;massieux;Massieux;1600;2428
01;SAINT-CYR-SUR-MENTHON;saint cyr sur menthon;Saint-Cyr-sur-Menthon;1380;1636
01;SERRIERES-SUR-AIN;serrieres sur ain;Serrières-sur-Ain;1450;119
01;NIVOLLET-MONTGRIFFON;nivollet montgriffon;Nivollet-Montgriffon;1230;143
01;IZERNORE;izernore;Izernore;1580;2278
01;SAINT-NIZIER-LE-DESERT;saint nizier le desert;Saint-Nizier-le-Désert;1320;880
01;GUEREINS;guereins;Guéreins;1090;1308
01;ILLIAT;illiat;Illiat;1140;570
01;LA TRANCLIERE;la trancliere;La Tranclière;1160;301
01;SAINT-DIDIER-DE-FORMANS;saint didier de formans;Saint-Didier-de-Formans;1600;1792
01;MERIGNAT;merignat;Mérignat;1450;139
01;SAINT-ELOI;saint eloi;Saint-Éloi;1800;399
01;LA CHAPELLE-DU-CHATELARD;la chapelle du chatelard;La Chapelle-du-Châtelard;1240;341
01;SAINT-JEAN-DE-NIOST;saint jean de niost;Saint-Jean-de-Niost;1800;1421
01;SAVIGNEUX;savigneux;Savigneux;1480;1204
01;NATTAGES;nattages;Nattages;1300;564
01;SAINT-BENOIT;saint benoit;Saint-Benoît;1300;773
01;DOUVRES;douvres;Douvres;1500;962
01;FRANCHELEINS;francheleins;Francheleins;1090;1323
01;DORTAN;dortan;Dortan;1590;1996
01;SAINT-GERMAIN-LES-PAROISSES;saint germain les paroisses;Saint-Germain-les-Paroisses;1300;387
01;MIRIBEL;miribel;Miribel;1700;9066
01;LANCRANS;lancrans;Lancrans;1200;1052
01;ECHENEVEX;echenevex;Échenevex;1170;1631
01;SAINT-JEAN-SUR-VEYLE;saint jean sur veyle;Saint-Jean-sur-Veyle;1290;1082
01;BILLIAT;billiat;Billiat;1200;484
01;L'ABERGEMENT-DE-VAREY;l abergement de varey;L'Abergement-de-Varey;1640;221
01;VILLENEUVE;villeneuve;Villeneuve;1480;1383
01;VILLARS-LES-DOMBES;villars les dombes;Villars-les-Dombes;1330;4399
01;THEZILLIEU;thezillieu;Thézillieu;1110;324
01;SAINT-ETIENNE-SUR-REYSSOUZE;saint etienne sur reyssouze;Saint-Étienne-sur-Reyssouze;1190;531
01;SOUCLIN;souclin;Souclin;1150;261
01;SAINT-JUST;saint just;Saint-Just;1250;881
01;CIVRIEUX;civrieux;Civrieux;1390;1362
01;ARGIS;argis;Argis;1230;421
01;TALISSIEU;talissieu;Talissieu;1510;425
01;BIRIEUX;birieux;Birieux;1330;236
01;SAINT-JULIEN-SUR-VEYLE;saint julien sur veyle;Saint-Julien-sur-Veyle;1540;715
01;THOIRY;thoiry;Thoiry;1710;5205
01;LAIZ;laiz;Laiz;1290;1130
01;CRESSIN-ROCHEFORT;cressin rochefort;Cressin-Rochefort;1350;374
01;SAINT-CHAMP;saint champ;Saint-Champ;1300;139
01;SAINT-GEORGES-SUR-RENON;saint georges sur renon;Saint-Georges-sur-Renon;1400;197
01;LANTENAY;lantenay;Lantenay;1430;257
01;VERNOUX;vernoux;Vernoux;1560;285
01;CORMARANCHE-EN-BUGEY;cormaranche en bugey;Cormaranche-en-Bugey;1110;859
01;SAINTE-EUPHEMIE;sainte euphemie;Sainte-Euphémie;1600;1482
